method_name,commit,committer,date,file_name,status,start_line,end_line
month_from_date,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,5,7
week_from_date,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,9,11
Time::to_date,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,14,16
Time::month_start,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,18,20
Array::freq_by,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,24,26
Array::freq,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,28,30
Array::pairs,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,32,34
Array::ascends?,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,36,38
Array::adjusted_to,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,40,43
Array::derivative,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,45,47
Array::mean,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,49,51
Array::column,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,53,55
Array::second,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,57,59
write_rows,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,66,70
method_events,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,73,75
spec_events,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,78,80
ownership_effect,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,83,89
same_committer,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,92,98
different_committers,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,101,107
count_changes,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,111,116
reductions_by_commit,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,119,123
percent_reduction,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,126,133
refactoring_reduction_profile,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,136,140
commits_with_specs_and_code,f75d684dbfcc8e02a07ea49fe7d266fbf51a3ca6,Michael Feathers,2012-12-03 10:58:26 -0800,analytics.rb,added,143,147
